TIME 0.002030, pos: 3.460706e-03 -8.476616e-03, Found 4153
baricenter: (0.0035000000000000343, -0.008499999999999966, 0.0)
TIME 0.002040, pos: 3.881721e-03 -8.296663e-03, Found 4153
baricenter: (0.0035000000000000343, -0.008499999999999966, 0.0)
TIME 0.002050, pos: 4.293394e-03 -8.095804e-03, Found 4154
baricenter: (0.004500000000000035, -0.008499999999999966, 0.0)
TIME 0.002060, pos: 4.694688e-03 -7.874524e-03, Found 4254
baricenter: (0.004500000000000035, -0.007499999999999965, 0.0)
TIME 0.002070, pos: 5.084589e-03 -7.633358e-03, Found 4255
baricenter: (0.005500000000000035, -0.007499999999999965, 0.0)
TIME 0.002080, pos: 5.462112e-03 -7.372892e-03, Found 4255
baricenter: (0.005500000000000035, -0.007499999999999965, 0.0)
TIME 0.002090, pos: 5.826302e-03 -7.093760e-03, Found 4255
baricenter: (0.005500000000000035, -0.007499999999999965, 0.0)
TIME 0.002100, pos: 6.176237e-03 -6.796646e-03, Found 4356
baricenter: (0.006500000000000035, -0.006499999999999966, 0.0)
TIME 0.002110, pos: 6.511028e-03 -6.482276e-03, Found 4356
baricenter: (0.006500000000000035, -0.006499999999999966, 0.0)
TIME 0.002120, pos: 6.829827e-03 -6.151422e-03, Found 4356
baricenter: (0.006500000000000035, -0.006499999999999966, 0.0)
TIME 0.002130, pos: 7.131820e-03 -5.804897e-03, Found 4457
baricenter: (0.007500000000000034, -0.005499999999999966, 0.0)
TIME 0.002140, pos: 7.416238e-03 -5.443554e-03, Found 4457
baricenter: (0.007500000000000034, -0.005499999999999966, 0.0)
TIME 0.002150, pos: 7.682356e-03 -5.068285e-03, Found 4457
baricenter: (0.007500000000000034, -0.005499999999999966, 0.0)
TIME 0.002160, pos: 7.929490e-03 -4.680015e-03, Found 4557
baricenter: (0.007500000000000034, -0.004499999999999966, 0.0)
TIME 0.002170, pos: 8.157007e-03 -4.279706e-03, Found 4558
baricenter: (0.008500000000000035, -0.004499999999999966, 0.0)
TIME 0.002180, pos: 8.364320e-03 -3.868347e-03, Found 4658
